time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
1988-12-31T11:17:20.730Z,-7.362,128.511,136.4,5.1,mb,,,,0.9,us,usp0003qc8,2014-11-07T00:43:19.838Z,"Kepulauan Barat Daya, Indonesia",earthquake,,4.3,,15,reviewed,us,us
1988-12-31T04:52:04.970Z,-2.572,126.272,33,4.7,mb,,,,0.8,us,usp0003qc1,2014-11-07T00:43:19.810Z,"Ceram Sea, Indonesia",earthquake,,,,4,reviewed,us,us
1988-12-30T22:05:25.320Z,-5.168,103.733,94.9,4.5,mb,,,,1.1,us,usp0003qbr,2014-11-07T00:43:19.770Z,"southern Sumatra, Indonesia",earthquake,,9.2,,5,reviewed,us,us
1988-12-30T16:38:05.360Z,-8.712,106.126,28.8,5,mb,,,,1,us,usp0003qbd,2014-11-07T00:43:19.746Z,"south of Java, Indonesia",earthquake,,,,12,reviewed,us,us
1988-12-30T16:16:03.760Z,-2.923,141.471,33,4.3,mb,,,,1.2,us,usp0003qbc,2014-11-07T00:43:19.743Z,"near the north coast of New Guinea, Papua New Guinea",earthquake,,,,5,reviewed,us,us
1988-12-30T14:30:32.140Z,-3.008,141.378,33.4,5.2,mw,,,,1,us,usp0003qb9,2016-11-10T00:19:42.815Z,"New Guinea, Papua New Guinea",earthquake,,7.8,,,reviewed,us,hrv
1988-12-30T09:21:14.710Z,-2.708,141.607,33,4,mb,,,,0.9,us,usp0003qb1,2014-11-07T00:43:19.708Z,"near the north coast of New Guinea, Papua New Guinea",earthquake,,,,2,reviewed,us,us
1988-12-30T02:12:46.910Z,-1.798,133.989,33,4.7,mb,,,,1.1,us,usp0003qat,2014-11-07T00:43:19.687Z,"Papua, Indonesia",earthquake,,,,3,reviewed,us,us
1988-12-30T01:52:54.000Z,-2.88,141.533,33,4.2,mb,,,,1.1,us,usp0003qas,2014-11-07T00:43:19.685Z,"near the north coast of New Guinea, Papua New Guinea",earthquake,,,,2,reviewed,us,us
1988-12-30T00:27:49.170Z,-2.89,141.514,21,5.3,mw,,,,1,us,usp0003qan,2020-04-16T19:31:16.166Z,"near the north coast of New Guinea, Papua New Guinea",earthquake,,,,,reviewed,us,hrv
1988-12-29T01:48:26.970Z,4.677,126.025,171.4,4.7,mb,,,,0.7,us,usp0003q9q,2014-11-07T00:43:19.545Z,"Kepulauan Talaud, Indonesia",earthquake,,15.7,,6,reviewed,us,us
1988-12-28T19:29:47.490Z,-2.164,133.525,33,4.5,mb,,,,0.9,us,usp0003q9j,2014-11-07T00:43:19.536Z,"Papua, Indonesia",earthquake,,,,3,reviewed,us,us
1988-12-28T18:32:09.420Z,-6.177,129.27,105.4,3.8,mb,,,,0.9,us,usp0003q9g,2014-11-07T00:43:19.532Z,"Banda Sea",earthquake,,45.6,,2,reviewed,us,us
1988-12-28T08:58:53.200Z,-8.214,121.169,214.7,5.2,mb,,,,1.2,us,usp0003q91,2014-11-07T00:43:19.481Z,"Flores region, Indonesia",earthquake,,7.8,,14,reviewed,us,us
