time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
1981-12-31T13:48:42.600Z,2.122,126.431,119,4.9,mb,,,,1.2,us,usp0001htu,2014-11-07T00:30:34.479Z,"Molucca Sea",earthquake,,9.2,,8,reviewed,us,us
1981-12-30T22:01:06.140Z,-10.674,114.758,33,3.7,mb,,,,1.3,us,usp0001htg,2014-11-07T00:30:34.427Z,"south of Bali, Indonesia",earthquake,,,,1,reviewed,us,us
1981-12-30T21:09:56.030Z,4.261,125.771,109.8,4.7,mb,,,,1.2,us,usp0001htd,2014-11-07T00:30:34.411Z,"Kepulauan Sangihe, Indonesia",earthquake,,15.1,,4,reviewed,us,us
1981-12-30T17:44:09.350Z,6.77,126.935,73.2,5,mb,,,,1.1,us,usp0001ht8,2014-11-07T00:30:34.391Z,"Mindanao, Philippines",earthquake,,4.9,,13,reviewed,us,us
1981-12-30T16:01:19.300Z,-9.643,117.506,33,4.1,mb,,,,1.1,us,usp0001ht6,2014-11-07T00:30:34.379Z,"Sumbawa region, Indonesia",earthquake,,,,1,reviewed,us,us
1981-12-29T17:11:14.950Z,6.98,94.019,32.2,4.8,ms,,,,1.2,us,usp0001hsa,2014-11-07T00:30:34.233Z,"Nicobar Islands, India region",earthquake,,5.3,,1,reviewed,us,us
1981-12-28T17:54:56.720Z,8.632,93.179,50.7,4.5,mb,,,,1.4,us,usp0001hr4,2014-11-07T00:30:34.034Z,"Nicobar Islands, India region",earthquake,,9.2,,4,reviewed,us,us
1981-12-28T01:53:02.480Z,-6.777,129.934,126.5,4.6,mb,,,,1.1,us,usp0001hqa,2014-11-07T00:30:33.878Z,"Banda Sea",earthquake,,5.8,,2,reviewed,us,us
1981-12-27T20:56:16.790Z,1.08,126.415,48.6,4.6,mb,,,,1.3,us,usp0001hq3,2014-11-07T00:30:33.791Z,"Molucca Sea",earthquake,,13.4,,2,reviewed,us,us
1981-12-27T10:30:44.490Z,-2.121,139.801,33,5.9,ms,,,,1.2,us,usp0001hpp,2020-01-03T08:02:51.025Z,"near the north coast of Papua, Indonesia",earthquake,,,,7,reviewed,us,us
1981-12-26T21:50:44.470Z,-7.236,129.135,156.5,5.3,mb,,,,1.2,us,usp0001hpd,2014-11-07T00:30:33.619Z,"Kepulauan Babar, Indonesia",earthquake,,5.5,,9,reviewed,us,us
1981-12-26T19:38:06.220Z,-9.634,119.277,83.9,4.4,mb,,,,1.4,us,usp0001hpc,2014-11-07T00:30:33.612Z,"Sumba region, Indonesia",earthquake,,10.6,,3,reviewed,us,us
