time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2000-12-31T07:51:46.010Z,8.27,127.199,47,5.3,mwc,41,,,0.91,us,usp000a6zh,2016-11-10T00:20:00.191Z,"Philippine Islands region",earthquake,,,,,reviewed,us,hrv
2000-12-31T05:59:00.510Z,-5.039,130.814,33,4.5,mb,12,,,0.71,us,usp000a6zd,2014-11-07T01:11:47.887Z,"Banda Sea",earthquake,,,,1,reviewed,us,us
2000-12-30T10:44:13.350Z,-6.967,129.69,133.1,5.2,mwc,76,,,0.8,us,usp000a6xk,2016-11-10T00:19:27.134Z,"Banda Sea",earthquake,,3.8,,,reviewed,us,hrv
2000-12-29T13:47:38.670Z,1.739,126.444,33,5.1,mwc,48,,,0.98,us,usp000a6w5,2016-11-10T00:19:00.693Z,"Molucca Sea",earthquake,,,,,reviewed,us,hrv
2000-12-29T12:11:00.900Z,1.404,127.049,33,4.7,mb,19,,,1.09,us,usp000a6w1,2014-11-07T01:11:47.295Z,"Halmahera, Indonesia",earthquake,,,,7,reviewed,us,us
2000-12-29T01:34:11.380Z,-3.465,101.639,33,4.5,mb,18,,,0.51,us,usp000a6vg,2014-11-07T01:11:47.237Z,"southern Sumatra, Indonesia",earthquake,,,,4,reviewed,us,us
2000-12-29T00:42:55.770Z,-0.521,119.947,33,4.5,mb,13,,,1.03,us,usp000a6vd,2014-11-07T01:11:47.232Z,"Minahasa, Sulawesi, Indonesia",earthquake,,,,7,reviewed,us,us
2000-12-28T21:06:54.110Z,-0.46,119.917,33,5.4,mwc,46,,,0.87,us,usp000a6v2,2016-11-10T00:18:23.262Z,"Minahasa, Sulawesi, Indonesia",earthquake,,,,,reviewed,us,hrv
2000-12-28T18:54:36.660Z,-4.864,102.599,33,5.4,mwc,79,,,0.91,us,usp000a6ux,2016-11-10T00:18:22.641Z,"southern Sumatra, Indonesia",earthquake,,,,,reviewed,us,hrv
2000-12-28T18:35:20.070Z,-8.163,117.91,33,4.7,mb,19,,,1.03,us,usp000a6uv,2014-11-07T01:11:47.015Z,"Sumbawa region, Indonesia",earthquake,,,,10,reviewed,us,us
2000-12-28T16:05:26.880Z,-8.138,117.94,33,5.2,mb,51,,,1.25,us,usp000a6ur,2014-11-07T01:11:46.987Z,"Sumbawa region, Indonesia",earthquake,,,,18,reviewed,us,us
2000-12-28T07:17:56.930Z,-8.836,123.936,150,4.7,mb,23,,,0.95,us,usp000a6u5,2014-11-07T01:11:46.932Z,"Flores region, Indonesia",earthquake,,,,9,reviewed,us,us
2000-12-27T09:07:10.630Z,-3.803,101.871,33,4.8,mb,42,,,0.99,us,usp000a6sv,2014-11-07T01:11:46.807Z,"southern Sumatra, Indonesia",earthquake,,,,6,reviewed,us,us
2000-12-26T15:48:40.250Z,-4.26,102.148,33,4.5,mb,19,,,1.21,us,usp000a6ry,2014-11-07T01:11:46.504Z,"southern Sumatra, Indonesia",earthquake,,,,7,reviewed,us,us
2000-12-26T07:09:02.700Z,1.796,120.303,33,4.7,mb,16,,,0.82,us,usp000a6rk,2014-11-07T01:11:46.462Z,"Minahasa, Sulawesi, Indonesia",earthquake,,,,5,reviewed,us,us
2000-12-26T06:28:24.030Z,9.929,126.177,33,4.4,mb,12,,,0.86,us,usp000a6rh,2014-11-07T01:11:46.458Z,"Mindanao, Philippines",earthquake,,,,2,reviewed,us,us
2000-12-26T06:12:46.120Z,2.644,97.766,100,4.7,mb,22,,,0.59,us,usp000a6rg,2014-11-07T01:11:46.456Z,"northern Sumatra, Indonesia",earthquake,,,,5,reviewed,us,us
2000-12-25T07:24:54.640Z,-2.01,127.691,33,4.1,mb,9,,,1.07,us,usp000a6q3,2014-11-07T01:11:46.281Z,"Ceram Sea, Indonesia",earthquake,,,,3,reviewed,us,us
2000-12-24T15:31:40.550Z,-4.527,101.885,33,4.6,mb,25,,,0.74,us,usp000a6ns,2014-11-07T01:11:46.148Z,"southern Sumatra, Indonesia",earthquake,,,,9,reviewed,us,us
2000-12-24T05:43:07.630Z,5.427,126.815,33,4.3,mb,11,,,0.96,us,usp000a6n2,2014-11-07T01:11:46.094Z,"Mindanao, Philippines",earthquake,,,,4,reviewed,us,us
2000-12-24T04:23:02.610Z,-4.278,123.359,33,4.9,mb,28,,,0.86,us,usp000a6mz,2014-11-07T01:11:46.085Z,"Banda Sea",earthquake,,,,15,reviewed,us,us
2000-12-24T03:11:07.450Z,-4.196,123.247,33,5.6,mwc,55,,,1.18,us,usp000a6mx,2020-01-04T00:30:10.484Z,"Banda Sea",earthquake,,,,,reviewed,us,hrv
2000-12-24T00:50:25.320Z,-0.38,123.398,33,3.9,mb,9,,,1.33,us,usp000a6mr,2014-11-07T01:11:46.057Z,"Sulawesi, Indonesia",earthquake,,,,2,reviewed,us,us
2000-12-23T16:39:08.300Z,1.696,97.018,33,4.8,mb,26,,,0.73,us,usp000a6ma,2014-11-07T01:11:46.008Z,"Nias region, Indonesia",earthquake,,,,7,reviewed,us,us
2000-12-23T10:38:52.910Z,-1.646,134.033,33,4.4,mb,16,,,1.5,us,usp000a6kz,2014-11-07T01:11:45.987Z,"near the north coast of Papua, Indonesia",earthquake,,,,5,reviewed,us,us
2000-12-23T07:13:38.770Z,-7.848,135.826,33,4.9,mb,26,,,1.19,us,usp000a6kp,2014-11-07T01:11:45.965Z,"Kepulauan Aru region, Indonesia",earthquake,,,,1,reviewed,us,us
2000-12-23T07:13:24.300Z,-7.873,135.816,61.7,6,mwc,129,,,0.89,us,usp000a6kn,2016-11-10T00:55:48.195Z,"Kepulauan Aru region, Indonesia",earthquake,,,,,reviewed,us,hrv
2000-12-23T05:20:22.140Z,0.752,125.371,60,4.5,mb,13,,,0.91,us,usp000a6kf,2014-11-07T01:11:45.935Z,"Molucca Sea",earthquake,,26.9,,4,reviewed,us,us
2000-12-22T20:48:06.880Z,-4.112,127.394,33,5.1,mb,64,,,1,us,usp000a6jv,2014-11-07T01:11:45.880Z,"Banda Sea",earthquake,,,,21,reviewed,us,us
2000-12-22T19:39:23.220Z,0.916,122.652,80.9,4.9,mb,30,,,0.9,us,usp000a6js,2014-11-07T01:11:45.873Z,"Minahasa, Sulawesi, Indonesia",earthquake,,20.8,,13,reviewed,us,us
2000-12-22T07:25:57.970Z,-6.119,114.059,94.3,3.5,mb,8,,,1.19,us,usp000a6hp,2014-11-07T01:11:45.722Z,"Bali Sea",earthquake,,46.2,,1,reviewed,us,us
2000-12-21T21:36:19.130Z,-5.302,142.792,72.7,4.5,mb,17,,,0.86,us,usp000a6h9,2014-11-07T01:11:45.649Z,"New Guinea, Papua New Guinea",earthquake,,12.4,,8,reviewed,us,us
2000-12-21T16:42:50.070Z,7.328,126.706,33,5.1,mb,66,,,0.96,us,usp000a6gz,2014-11-07T01:11:45.622Z,"Mindanao, Philippines",earthquake,,,,28,reviewed,us,us
2000-12-20T20:44:23.850Z,4.299,126.422,33,4.7,mb,28,,,1.13,us,usp000a6f0,2014-11-07T01:11:45.325Z,"Kepulauan Talaud, Indonesia",earthquake,,,,15,reviewed,us,us
2000-12-20T12:11:29.510Z,0.627,127.504,33,4.5,mb,10,,,0.8,us,usp000a6e6,2014-11-07T01:11:45.210Z,"Halmahera, Indonesia",earthquake,,,,2,reviewed,us,us
2000-12-20T06:45:29.550Z,-6.665,106.766,33,4.3,mb,17,,,1.27,us,usp000a6dg,2014-11-07T01:11:45.025Z,"Java, Indonesia",earthquake,,,,3,reviewed,us,us
2000-12-17T02:23:29.830Z,7.426,126.88,33,4.2,mb,21,,,0.87,us,usp000a66p,2014-11-07T01:11:44.383Z,"Mindanao, Philippines",earthquake,,,,4,reviewed,us,us
2000-12-15T14:30:03.630Z,-3.99,128.627,68.7,4.6,mb,18,,,1.07,us,usp000a64a,2014-11-07T01:11:44.072Z,"Seram, Indonesia",earthquake,,26.6,,4,reviewed,us,us
2000-12-14T17:01:35.340Z,-8.323,110.909,103.5,4.8,mb,29,,,1.23,us,usp000a62q,2014-11-07T01:11:43.894Z,"Java, Indonesia",earthquake,,25.1,,4,reviewed,us,us
2000-12-14T08:52:37.830Z,-5.525,102.959,33,4.2,mb,18,,,0.8,us,usp000a620,2014-11-07T01:11:43.852Z,"southern Sumatra, Indonesia",earthquake,,,,2,reviewed,us,us
2000-12-14T02:39:26.210Z,-0.041,123.508,165.3,4.9,mb,35,,,1.19,us,usp000a61n,2014-11-07T01:11:43.828Z,"Sulawesi, Indonesia",earthquake,,20.1,,8,reviewed,us,us
2000-12-14T00:01:21.600Z,3.561,126.091,33,4.6,mb,27,,,0.98,us,usp000a61e,2014-11-07T01:11:43.813Z,"Kepulauan Talaud, Indonesia",earthquake,,,,8,reviewed,us,us
2000-12-13T17:58:39.020Z,-3.306,132.502,33,4.4,mb,15,,,0.71,us,usp000a60x,2014-11-07T01:11:43.763Z,"near the south coast of Papua, Indonesia",earthquake,,,,4,reviewed,us,us
2000-12-13T10:50:48.020Z,0.139,126.862,33,4.2,mb,8,,,0.46,us,usp000a608,2014-11-07T01:11:43.691Z,"Molucca Sea",earthquake,,,,2,reviewed,us,us
2000-12-13T09:16:41.620Z,1.603,128.312,68.2,4.6,mb,15,,,0.61,us,usp000a605,2014-11-07T01:11:43.685Z,"Halmahera, Indonesia",earthquake,,,,4,reviewed,us,us
2000-12-13T02:15:57.990Z,-9.951,120.138,87.1,4.3,mb,10,,,1.03,us,usp000a5zm,2014-11-07T01:11:43.618Z,"Sumba region, Indonesia",earthquake,,20.2,,1,reviewed,us,us
2000-12-12T00:47:42.410Z,0.454,98.962,33,4.7,mb,10,,,0.93,us,usp000a5xm,2014-11-07T01:11:43.301Z,"Nias region, Indonesia",earthquake,,,,1,reviewed,us,us
2000-12-11T23:11:16.250Z,8.657,126.665,33,4.3,mb,11,,,1.09,us,usp000a5xg,2014-11-07T01:11:43.293Z,"Mindanao, Philippines",earthquake,,,,1,reviewed,us,us
2000-12-11T06:40:29.840Z,-3.551,140.108,33,4.2,mb,9,,,1.52,us,usp000a5w4,2014-11-07T01:11:43.135Z,"Papua, Indonesia",earthquake,,,,1,reviewed,us,us
2000-12-11T05:39:27.770Z,4.654,95.91,135.4,4.6,mb,43,,,0.89,us,usp000a5vz,2014-11-07T01:11:43.124Z,"northern Sumatra, Indonesia",earthquake,,20.1,,19,reviewed,us,us
2000-12-11T03:58:02.570Z,-5.201,102.933,33,4.6,mb,7,,,0.38,us,usp000a5vu,2014-11-07T01:11:43.113Z,"southern Sumatra, Indonesia",earthquake,,,,2,reviewed,us,us
2000-12-10T18:58:36.560Z,0.05,127.38,150,5.7,mwc,129,,,1,us,usp000a5v3,2020-01-04T00:29:11.124Z,"Halmahera, Indonesia",earthquake,,,,,reviewed,us,hrv
2000-12-10T14:55:10.350Z,3.98,126.744,33,4.6,mb,12,,,1.2,us,usp000a5uj,2014-11-07T01:11:42.578Z,"Kepulauan Talaud, Indonesia",earthquake,,,,3,reviewed,us,us
2000-12-10T11:33:05.390Z,-3.153,142.909,33,3.9,mb,6,,,0.56,us,usp000a5u0,2014-11-07T01:11:42.141Z,"near the north coast of New Guinea, Papua New Guinea",earthquake,,,,2,reviewed,us,us
2000-12-10T10:05:49.910Z,-0.847,121.554,33,5.5,mwc,33,,,1.01,us,usp000a5tw,2020-01-04T00:28:44.598Z,"Sulawesi, Indonesia",earthquake,,,,,reviewed,us,hrv
2000-12-10T07:32:27.610Z,-7.263,129.126,100,3.9,mb,10,,,0.82,us,usp000a5tn,2014-11-07T01:11:42.104Z,"Kepulauan Babar, Indonesia",earthquake,,,,2,reviewed,us,us
2000-12-10T00:34:11.610Z,-6.005,130.59,100,4.5,mb,9,,,1.07,us,usp000a5t3,2014-11-07T01:11:42.050Z,"Banda Sea",earthquake,,,,2,reviewed,us,us
2000-12-09T16:40:42.320Z,-3.008,142.196,33,4.5,mb,11,,,0.79,us,usp000a5s8,2014-11-07T01:11:41.933Z,"near the north coast of New Guinea, Papua New Guinea",earthquake,,,,2,reviewed,us,us
2000-12-09T13:50:56.120Z,-6.939,129.809,58.6,4.3,mb,16,,,0.83,us,usp000a5s3,2014-11-07T01:11:41.925Z,"Banda Sea",earthquake,,25.4,,4,reviewed,us,us
2000-12-09T11:15:39.620Z,-3.564,102.291,92.7,4.3,mb,13,,,1.1,us,usp000a5ry,2014-11-07T01:11:41.916Z,"southern Sumatra, Indonesia",earthquake,,,,2,reviewed,us,us
2000-12-09T00:16:04.500Z,-4.353,102.271,51.4,4.6,mb,12,,,0.94,us,usp000a5r7,2014-11-07T01:11:41.857Z,"southern Sumatra, Indonesia",earthquake,,,,1,reviewed,us,us
2000-12-08T02:35:23.990Z,-2.501,140.028,33,3.9,mb,9,,,1.02,us,usp000a5pp,2014-11-07T01:11:41.657Z,"near the north coast of Papua, Indonesia",earthquake,,,,1,reviewed,us,us
2000-12-07T17:12:45.580Z,-3.036,126.134,93.2,4.6,mb,22,,,0.98,us,usp000a5nx,2014-11-07T01:11:41.529Z,"Buru, Indonesia",earthquake,,25.2,,13,reviewed,us,us
2000-12-07T09:06:42.670Z,2.209,126.76,33,4.6,mb,20,,,0.87,us,usp000a5n9,2014-11-07T01:11:41.405Z,"Molucca Sea",earthquake,,,,12,reviewed,us,us
