time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
1978-12-31T13:52:39.800Z,-6.451,129.233,235,5,mb,,,,,us,usp0000y70,2014-11-06T23:21:55.551Z,"Banda Sea",earthquake,,,,,reviewed,us,us
1978-12-29T20:08:17.900Z,1.946,123.656,91,4.5,mb,,,,,us,usp0000y6e,2014-11-06T23:21:55.529Z,"Minahasa, Sulawesi, Indonesia",earthquake,,,,,reviewed,us,us
1978-12-29T09:17:34.100Z,-7.95,117.974,33,4.4,mb,,,,,us,usp0000y64,2014-11-06T23:21:55.519Z,"Bali Sea",earthquake,,,,,reviewed,us,us
1978-12-28T09:28:55.800Z,-1.036,98.285,33,4.3,mb,,,,,us,usp0000y5f,2014-11-06T23:21:55.495Z,"Kepulauan Mentawai region, Indonesia",earthquake,,,,,reviewed,us,us
1978-12-26T05:14:49.300Z,-7.701,117.369,291,4.6,mb,,,,,us,usp0000y4h,2014-11-06T23:21:55.453Z,"Bali Sea",earthquake,,,,,reviewed,us,us
1978-12-26T04:42:17.700Z,-8.289,121.68,33,4.8,mb,,,,,us,usp0000y4g,2014-11-06T23:21:55.438Z,"Flores region, Indonesia",earthquake,,,,,reviewed,us,us
1978-12-26T02:44:14.300Z,-8.245,121.486,67,3.9,mb,,,,,us,usp0000y4b,2014-11-06T23:21:55.404Z,"Flores region, Indonesia",earthquake,,,,,reviewed,us,us
1978-12-26T00:06:42.000Z,-8.266,121.444,54,4.8,mb,,,,,us,usp0000y48,2014-11-06T23:21:55.387Z,"Flores region, Indonesia",earthquake,,,,,reviewed,us,us
1978-12-25T16:05:46.000Z,1.427,126.336,114,4.6,mb,,,,,us,usp0000y3y,2014-11-06T23:21:55.318Z,"Molucca Sea",earthquake,,,,,reviewed,us,us
1978-12-24T21:43:16.800Z,3.595,98.296,152,4.3,mb,,,,,us,usp0000y3h,2014-11-06T23:21:55.285Z,"northern Sumatra, Indonesia",earthquake,,,,,reviewed,us,us
1978-12-24T12:36:39.200Z,2.43,128.563,239,5,mb,,,,,us,usp0000y38,2014-11-06T23:21:55.275Z,"Halmahera, Indonesia",earthquake,,,,,reviewed,us,us
1978-12-23T07:50:53.100Z,2.016,97.196,57,5,mb,,,,,us,usp0000y1v,2014-11-06T23:21:55.142Z,"northern Sumatra, Indonesia",earthquake,,,,,reviewed,us,us
1978-12-23T05:10:50.800Z,-8.254,121.492,33,5.8,mb,,,,,us,usp0000y1r,2020-04-17T22:24:13.123Z,"Flores region, Indonesia",earthquake,,,,,reviewed,us,us
1978-12-23T02:28:28.100Z,5.448,126.076,122,4.8,mb,,,,,us,usp0000y1p,2014-11-06T23:21:55.134Z,"Mindanao, Philippines",earthquake,,,,,reviewed,us,us
1978-12-22T00:15:45.800Z,-12.404,121.923,34,4.3,mb,,,,,us,usp0000y19,2014-11-06T23:21:55.120Z,"south of Timor",earthquake,,,,,reviewed,us,us
